,제목,가사
104,얼굴 찌푸리지 말아요,얼굴 찌푸리지 말아요 모두가 힘들잖아요  기쁨의 그날 위해 함께하는 친구들이 있잖아요  혼자라고 느껴질 때면 주위를 둘러보세요  이렇게 많은 이들 모두가 나의 친구랍니다  우리 가는 길이 결코 쉽진 않을 거예요  때로는 모진 시련에 좌절도 하겠지만  우리의 친구들과 함께라면 두렵지 않아  우리 모두 함께 손을 잡고 원 투 쓰리 포
105,얼룩송아지,송아지 송아지 얼룩 송아지  엄마소도 얼룩소 엄마 닮았네
106,엄마 돼지 아기 돼지,토실토실 아기 돼지 젖 달라고 꿀꿀꿀  엄마 돼지 오냐 오냐 알았다고 꿀꿀꿀  꿀꿀 꿀꿀 꿀꿀 꿀꿀  꿀꿀꿀꿀 꿀꿀꿀꿀 꿀꿀꿀꿀꿀  아기 돼지 바깥으로 나가자고 꿀꿀꿀  엄마 돼지 비가 와서 안 된다고 꿀꿀꿀
107,에델바이스,"에델바이스, 에델바이스 아침 이슬에 젖어  귀여운 미소는 나를 반기어 주네  눈처럼 빛나는 순결은 우리들의 자랑  에델바이스, 에델바이스 마음 속의 꽃이여  Edelweiss, edelweiss  Every morning you greet me,  Small and white,  Clean and bright.  You look happy to meet me.  Blossom of snow may you bloom and grow,  Bloom and grow forever.  Edelweiss, edelweiss  Bless my homeland forever."
108,여름 냇가,시냇물은 졸졸졸졸     고기들은 왓다갔다  버들가지 한들한들     꾀꼬리는 꾀꼴꾀꼴  금빛옷을 차려입고     여름아씨 박측왁측  곱게곱게 차려입고     시냇가에 뻐뜩왔다
109,여름냇가,시냇물은 졸졸졸졸  고기들은 왔다 갔다  버들가진 한들한들  꾀꼬리는 꾀꼴꾀꼴
110,"여우야, 여우야 뭐하니","여우야, 여우야 뭐하니  잠잔다~ 잠꾸러기  여우야, 여우야 뭐하니  세수한다~ 멋쟁이  여우야, 여우야 뭐하니  옷입는다~ 예쁜이  여우야, 여우야 뭐하니  밥먹는다~ 무슨반찬~ 개구리 반찬  죽었니, 살았니 살았다~~오란 꽃 그늘 아래  가지런히 놓여 있는 꼬까신 하나  아기는 살짝 신벗어 "
111,열 꼬마 인디언,한 꼬마 두 꼬마 세꼬마 인디언  네 꼬마 다섯 꼬마 여섯 꼬마 인디언  일곱 꼬마 여덟 꼬마 아홉 꼬마 인디언  열 꼬마 인디언
112,예쁜 아기 곰,동그란 눈에 까만 작은 코  하얀 털옷을 입은 예쁜 아기 곰  언제나 너를 바라보면서 작은 소망 얘기하지  너의 곁에 있으면 나는 행복해  어떤 비밀이라도 말할 수 있어  까만 작은 코에 입을 맞추면  수줍어 얼굴을 붉히는 예쁜 아기 곰
113,오빠생각,뜸북 뜸북 뜸북새 논에서 울고  뻐꾹뻐꾹 뻐꾹새 숲에서 울제  우리오빠 말타고 서울 가시면  비단구두 사가지고 오신다더니  기럭기럭 기러기 북에서 오고  귀뚤귀뚤 귀뚜라미 슬피울던날  서울가신 오빠는 소식도 없고  나무잎은 우수수 떨어집니다
114,옥수수 하모니카,우리 아기 불고 노는 하모니카는  옥수수를 가지고서 만들었어요  옥수수알 길게 두 줄 남겨 가지고  우리 아기 하모니카 불고 있어요  도레미파 솔라시도 소리가 안 나  도미솔도 도솔미도 말로 하지요 
115,올챙이와 개구리,개울가에 올챙이 한마리  꼬물꼬물 헤엄치다  뒷다리가 쑥 앞다리가 쑥  팔딱팔딱 개구리 됐네  꼬물꼬물 꼬물꼬물  꼬물꼬물 올챙이가  뒷다리가 쑥 앞다리가 쑥  팔딱팔딱 개구리 됐네
116,옹달샘,깊은 산 속 옹달샘 누가 와서 먹나요  새벽에 토끼가 눈 비비고 일어나  세수하러 왔다가 물만 먹고 가지요  맑고 맑은 옹달샘 누가 와서 먹나요  달밤에 노루가 숨바꼭질 하다가  목 마르면 달려와 얼른 먹고 가지요
117,옹달샘,깊은산속 옹달샘 누가와서 먹나요  맑고 맑은 옹달샘 누가와서 먹나요  새벽에 토끼가 눈비비고 일어나  세수하러 왔다가 물만먹고 가지요
118,요기여기,눈은 어디 있나 요기  코는 어디 있나 요기  귀는 어디 있나 요기  입은 어디 있을까 요기  엄마 눈은 어디 있나 여기  엄마 코는 어디 있나 여기  엄마 귀는 어디 있나 여기  입은 어디 있을까 여기
119,우리나라꽃,무궁화 무궁화 우리나라 꽃  삼천리 강산에 우리나라 꽃  피었네 피었네 우리나라 꽃  삼천리 강산에 우리나라 꽃
120,우리집 강아지,1. 우리집 강아지는 복슬강아지  어머니가 시장가면 멍멍멍  촐랑촐랑 따라가며 멍멍멍  2. 우리집 강아지는 예쁜강아지  학교갔다 돌아오면 멍멍멍  꼬리치고 반갑다고 멍멍멍
121,우산,이슬비 내리는 이른 아침에  우산 셋이 나란히 걸어갑니다  파란 우산 깜장 우산 찢어진 우산  좁다란 학교길에 우산 세 개가  이마를 마주 대고 걸어갑니다
122,울면 안돼,울면 안 돼 울면 안 돼  산타 할아버지는  우는 애들엔 선물을 안 주신대요  산타 할아버지는 알고 계신대  누가 착한 앤지 나쁜 앤지  오늘밤에 다녀가신대  잠잘 때나 일어날 때  짜증낼 때 장난할 때도  산타 할아버지는  모든 것을 알고 계신대  울면 안 돼 울면 안 돼  산타 할아버지는 우리 마을을  오늘밤에 다녀가신대
123,이렇게 살아가래요,1. 나비 등을 타고 꽃밭에 갔더니  내게 꽃처럼 살아가래요  산새 등을 타고 숲속에 갔더니  내게 산처럼 살아가래요  그윽한 향기 뿌리고 방긋이 웃음 지으면  무겁게 앉아 멀리 바라보고 푸르게 살아가래요  2. 물새 등을 타고 바다로 갔더니  내게 바다처럼 살아가래요  바람 등을 타고 하늘로 갔더니  내게 해처럼 살아가래요  가슴에 푸른물결치면서 진주를 키워가래요  온 세상 아름답게 밝혀주는 해처럼 살아가래요  랄랄랄랄랄~~~~
124,자장가(모차르트),잘 자라 우리 아가  앞뜰과 뒷동산에  새들도 아가 양도  다들 자는데  달님은 영창으로  은구슬 금구슬을  보내는 이 한밤  잘 자라 우리 아가  잘 자거라
125,자전거,따르릉따르릉 비켜나셔요  자전거가 나갑니다. 따르르르릉  저기 가는 저 노인 조심하셔요  어물어물하다가는 큰일 납니다
126,작은 동물원,"다같이 하나, 둘, 셋, 넷!  삐약삐약 병아리 음메음메 송아지  따당따당 사냥꾼 뒤뚱뒤뚱 물오리  푸~ 푸~ 개구리 집게집게집게 가재  푸르르르르르르 물풀 따당따땅따 소라~!"
127,작은별,반짝반짝 작은별 아름답게 비치네  동쪽하늘에서도 서쪽하늘에서도  반짝반짝 작은별 아름답게 비치네  twinkle twinkle little star  how I wonder what you are  up above the world so high  like a diamond in the sky
128,잘자라 우리아가,잘 자라 우리아가 앞뜰과 뒷동산에  새들도 아가양도 다들 자는데  달님은 영창으로 은구슬 금구슬을  보내는 이 한밤  잘 자라 우리 아가 잘 자거라  온 누리는 고요히 잠들고  선반의 생쥐도 다들 자고 있는데  뒷방서 들려오는 재미난 이야기만  적막을 깨뜨리네  잘 자라 우리 아가 잘 자거라
129,저금통,땡그랑 한푼 땡그랑 두푼  벙어리 저금통이 아이구 무거워  하하하하 우리는 착한 어린이  아껴쓰며 저축하는 알뜰한 어린이
130,정글숲,정글숲을 지나서 가자  엉금엉금 기어서 가자  늪지대가 나타나면은  악어떼가 나올라 (악어떼)
131,종달새의 하루,1. 하늘에서 굽어보면 보리밭이 좋아 보여  종달새가 쏜살같이 내려옵니다.  비비배배 거리며 오르락 내리락  오르락 내리락 하다 하루해가 집니다.  2.밭에서 쳐다보면 저 하늘이 좋아보여  다시 또 쏜살같이 솟구칩니다.  비비배배 거리며 오르락 내리락  오르락 내리락 하다 하루해가 집니다.
132,종이접기,1. 색종이를 곱게 접어서  물감으로 예쁘게 색칠하고  알록달록 오색실 꼬리 달아 비행기를 만들자  솔솔 바람부는 뒷동산에 동네 친구 모두 모여서  파란 하늘 향해 날리면 새처럼 날아간다  하늘 끝까지 날아라 높이 더 높이  2. 도화지를 곱게 접어서  색연필로 예쁘게 색칠하고  노랑 파랑 은행잎 돛대 달아 종이배를 만들자  졸졸 노래하는 시냇가에 동네 친구 모두 모여서  파란 시냇물에 띄우면 물 따라 흘러간다  동해 바다까지 흘러라 멀리 더 멀리
133,주먹쥐고,주먹 쥐고 손을 펴서 손뼉 치고 주먹 쥐고  또 다시 펴서 손뼉 치고 두손을 머리 위에  해님이 반짝 해님이 반짝 해님이 반짝 반짝 거려요
134,즐거운 나의 집,"즐거운 곳에 서는 날 오라 하여도  내 쉴 곳은 작은 집 내 집뿐이리  내나라, 내 기쁨 길이 쉴 곳도  꽃피고 새 우는 집 내 집뿐이리"
135,징글벨,흰 눈 사이로 썰매를 타고  달리는 기분 상쾌도 하다  종이 울려서 장단 맞추니  흥겨워서 소리 높여 노래부른다  종소리 울려라 종소리 울려  우리 썰매 빨리 달려 종소리 울려라  종소리 울려라 종소리 울려  기쁜 노래 부르면서 빨리 달리자
136,짝짜꿍,엄마 앞에서 짝짜꿍  아빠 앞에서 짝짜꿍  엄마 한숨은 잠자고  아빠 주름살 펴져라
137,참 좋은 말,사랑해요 이 한마디 참 좋은 말  우리 식구 자고 나면 주고받는 말  사랑해요 이 한 마디 참 좋은 말  엄마 아빠 일터 갈 때 주고받는 말  이 말이 좋아서 온종일 신이 나지요  이 말이 좋아서 온종일 일 맛나지요  이 말이 좋아서 온종일 가슴이  콩닥콩닥 뛴데요  사랑해요 이 한마디 참 좋은 말  나는 나는 이 한 마디가 정말 좋아요
138,코끼리,코끼리 아저씨는 코가 손이래 과자를 주면은 코로 받지요  코끼리 아저씨는 소방수래요 불나면 빨리 와 모셔 가지요
139,코끼리아저씨,화창한 봄날에 코끼리 아저씨가  가랑잎 타고서 태평양 건너 갈 적에  고래 아가씨 코끼리 아저씨보고  첫눈에 반해 쓰리살짝 윙크했대요  당신은 육지 멋쟁이 나는 바다 이쁜이  천생연분 결혼합시다 (어머 어머 어머)  예식장은 용궁 예식장 주례는 문어 박사  피아노는 오징어 예물은 조개 껍데기
140,클레멘타인,"In a cavern, in a canyon  Excavating for a mine  Dwelt a miner forty-niner  And his daughter, Clementine  Oh, my darling, oh, my darling  Oh, my darling Clementine  You are lost and gone forever  Dreadful sorry, Clementine  Drove the ducklings to the water  Every morning just at nine  Hit her foot against a splinter  Fell into the foaming brine  Oh, my darling, oh, my darling  Oh, my darling Clementine  You are lost and gone forever  Dreadful sorry, Clementine"
141,태극기,태극기가 바람에 펄럭입니다  하늘 높이 아름답게 펄럭입니다
142,텔레비전,텔레비전에 내가 나왔으면  정말 좋겠네 정말 좋겠네  텔레비전에 내가 나왔으면  정말 좋겠네 정말 좋겠네  춤추고 노래하는 예쁜 내 얼굴  텔레비전에 내가 나왔으면  정말 좋겠네 정말 좋겠네
143,통통통통,통통통통 털보 영감님  통통통통 혹부리 영감님  통통통통 코주부 영감님  통통통통 안경 영감님  통통통통 손을 위로  팔랑팔랑 팔랑팔랑 손을 무릎에  도도도도 무릎입니다  레레레레 배꼽입니다  미미미미 가슴입니다  파파파파 어깨랍니다  솔솔솔솔 머리랍니다  팔랑팔랑 팔랑팔랑 손을 무릎에
144,파란나라를 보았니,파란나라를 보았니 꿈과 사랑이 가득한  파란나라를 보았니 천사들이 사는 나라  파란나라를 보았니 맑은 강물이 흐르는  파란 나라를 보았니 울타리가 없는 나라  나 찌루찌루의 파랑새를 알아요  나 안데르센도 알고요  저 무지개 넘어 파란나라 있나요  저 파란하늘 끝에- 거기 있나요  동화책 속에 있고 텔레비젼에 있고  아빠의 꿈에 엄마의 눈속에 언제나 있는 나라  아무리 봐도 없고 아는 사람도 없어  누구나 한번 가보고 싶어서 생각만 하는 나라  우리가 한번 해봐요 온세상 모두 손잡고  새파란 마음 한마음 새파란 나라 지어요  우리 손으로 지어요- 어린이 손에 주세요- 손!
145,파란마음하얀마음,우리들 마음에 빛이있다면  여름엔 여름엔 파랄거예요  산도들도 나무도 파란잎으로 파랗게 파랗게 덮인속에서  파아란 하늘보고 자라니까요  우리들 마음에 빛이있다면  겨울엔 겨울엔 하얄거예요  산도들도 지붕도 하얀 눈으로  하얗게 하얗게 덮인속에서  깨끗한 마음으로 자라니까요
146,퐁당퐁당,퐁당퐁당 돌을 던지자  누나 몰래 돌을 던지자  냇물아 퍼져라. 멀리 멀리 퍼져라  건너 편에 앉아서 나물을 씻는  우리 누나 손등을 간질여주어라
147,하얀나라,나는 눈이 좋아서  꿈에 눈이 오나 봐  온 세상이 모두 하얀 나라였지  어젯밤 꿈 속에
148,학교종,학교종이 땡땡땡 어서 모이자  선생님이 우리를 기다리신다
149,함께 걸어 좋은 길,문구점을 지나고 장난감집 지나서  학교가는 길 너랑 함께 가서 좋은 길  놀이터를 지나고 떡볶이집 지나서  집에 오는 길 너랑 함께 와서 좋은 길  도란도란 이야기하며 손잡고 가는 길  너랑 함께 걸어서 너무 너무 좋은 길
150,해당화,해당화가 곱게 핀 바닷가에서  나혼자 걷노라면 수평선 멀리  갈매기 한두쌍이 가물거리네  물결마저 잔잔한 바닷가에서  조개를 잡노라면 수평선멀리  파란 바닷물은 꽃무늬 지네  모래마저 금같은 바닷가에서
151,햇볕은 쨍쨍,햇볕은 쨍쨍 모래알은 반짝  모래알로 떡 해 놓고  조약돌로 소반 지어  언니 누나 모셔다가  맛있게도 냠냠
152,허수아비 아저씨,하루종일 우뚝 서 있는  성난 허수아비 아저씨  짹짹짹짹짹 어이 무서워  새들이 달아납니다  하루종일 우뚝 서 있는  성난 허수아비 아저씨
153,혼자서도 잘할 거야,거야 거야 할 거야 혼자서도 잘할 거야  예쁜 짓 고운 짓 혼자서도 잘할 거야  엄마는 잘한다고 호호호 호호호호  아빠는 귀엽다고 하하하하 하하하  거야거야 할 거야 혼자서도 잘할 거야  예쁜 짓 고운 짓 혼자서도 잘할 거야
154,당신은 누구십니까,1.당신은 누구십니까 / 나는 (예쁜이) / 그 이름 아름답구나 / 2.당신은 누구십니까 / 나는 (씩씩이) / 그 이름 씩씩하구나
155,겨울밤,1.부엉 부엉새가 우는밤 / 부엉 춥다고선 우는데 / 우리들은 할머니곁에 / 모두 옹기종이 앉아서 / 옛날 이야기를 듣지요 / 2.붕붕 가랑잎이 우는 밤 / 붕붕 춥다고서 우는데 / 우리들은 화롯가에서 / 모두 올망졸망 모여서 / 호호 밤을 구워 먹지요
